"title","location","date"
"259. Telegram From the Embassy in Indonesia
                            to the Department of State1","Djakarta","August 30, 1957—4
                            p.m."
"260. Telegram From the Embassy in Indonesia
                            to the Department of State1","Djakarta","August 30, 1957—5
                            p.m."
"261. Telegram From the Department of State
                            to the Embassy in Indonesia1","Washington","August 31, 1957—3:57
                                p.m."
"80. Position Paper Prepared in the Bureau of International
                            Organization Affairs for the Delegation to the Twelfth Session of the
                            General Assembly1","Washington","September 2,
                                1957"
"262. Report Prepared by the Ad Hoc Interdepartmental Committee on
                            Indonesia for the National Security Council1","Washington","September 3,
                                    1957"
"13. Letter From the President’s Deputy Assistant (Persons) to the Chairman of
                        the Subcommittee on Foreign Trade Policy (Boggs)1
                    ","Washington","September 6,
                            1957"
"263. Telegram From the Embassy in Vietnam
                            to the Department of State1","Saigon","September 8, 1957—9
                                p.m."
"264. Telegram From the Department of State
                            to the Consulate General at Hong Kong1","Washington","September 9, 1957—4:38
                                p.m."
"172. Memorandum From Elbert G.
                                Mathews of the Policy Planning Staff to the Deputy Under
                            Secretary of State for Economic Affairs (Dillon)1","Washington","September 11,
                                    1957."
"207. Report Prepared by the National Security Council1","Washington","September 11,
                                1957."
"265. Telegram From the Embassy in Indonesia
                            to the Department of State1","Djakarta","September 13, 1957—3
                                p.m."
"266. Memorandum From the Assistant Secretary of State for Far Eastern
                            Affairs (Robertson)
                            to the Secretary of State1","Washington","September 19,
                                    1957"
"267. Memorandum From the Secretary of State’s Special Assistant for
                            Intelligence (Cumming) to the Secretary of
                                State1","Washington","September 20,
                                    1957"
"286. Memorandum of Discussion at the 337th Meeting of the National
                            Security Council, Washington, September 23, 19571","Washington","September 23, 1957"
"268. Memorandum of Discussion at the 337th Meeting of the National
                            Security Council, Washington, September 23, 19571","Washington","September 23,
                                    1957"
"269. Memorandum of a Conversation, Department of State, Washington,
                            September 24, 19571","Washington","September 24,
                            1957"
"231. Telegram From the Department of State
                            to the Embassy in Japan1","Washington","September 25, 1957—6:29
                            p.m."
"271. Memorandum From the Deputy Under Secretary of State for Political
                            Affairs (Murphy) to
                            the Secretary of State1","Washington","October 2,
                                    1957"
"272. Memorandum for the Record, by Robert K.
                                German of the Executive Secretariat1","Washington","October 3, 1957—3:15
                                p.m."
"274. Memorandum of a Conversation, Department of State, Washington,
                            October 4, 19571","Washington","October 4,
                            1957"
"171. United States Minutes of the ANZUS Council Meeting, Department of State, Washington,
                            October 4, 1957, 10:30 a.m.–12:45 p.m. and 2:15–4:15 p.m.1","Washington","October 4, 1957, 10:30 a.m.–12:45 p.m.
                                    and
                                    2:15–4:15 p.m."
"273. United States Minutes of ANZUS
                            Council Meeting, Washington, October 4, 1957, 10:30 a.m.–12:45 p.m. and
                            2:15–4:15 p.m.1","Washington","October 4, 1957, 10:30 a.m.–12:45 p.m. and
                                    2:15–4:15 p.m."
"263. Instruction From the Department of
                                State to Certain Diplomatic
                                Missions1","Washington","October 10,
                                1957"
"275. Telegram From the Embassy in Indonesia
                            to the Department of State1","Djakarta","October 11, 1957—3
                            p.m."
"277. Telegram From the Embassy in Indonesia
                            to the Department of State1","Djakarta","October 15,
                            1957—noon"
"276. Memorandum of a Conversation, Department of State, Washington,
                            October 15, 19571","Washington","October 15,
                            1957"
"240. Telegram From the Embassy in Japan to
                            the Department of State1","Tokyo","October 18, 1957—9 p.m."
"55. National Security Council Report1","Washington","October 19,
                                1957"
"418. Telegram From the Mission at the United
                                Nations to the Department of
                                State1","New
                                        York","October 31, 1957—7
                            p.m."
"278. Telegram From the Embassy in Indonesia
                            to the Department of State1","Djakarta","November 4, 1957—10
                                a.m."
"279. Telegram From the Embassy in Indonesia
                            to the Department of State1","Djakarta","November 4, 1957—4
                            p.m."
"280. Telegram From the Embassy in Indonesia
                            to the Department of State1","Djakarta","November 4, 1957—5
                            p.m."
"281. Telegram From the Embassy in Indonesia
                            to the Department of State1","Djakarta","November 5, 1957—1
                            p.m."
"283. Telegram From the Embassy in the
                                Netherlands to the Department of
                                State1","The
                                        Hague","November 8, 1957—6
                            p.m."
"284. Memorandum of a Conversation Between the Indonesian Ambassador
                                (Moekarto) and the
                            Deputy Assistant Secretary of State for Far Eastern Affairs (Jones), Washington, November
                            12, 19571","Washington","November 12,
                            1957"
"285. Memorandum of a Conversation Between the Indonesian Ambassador
                                (Moekarto) and the
                            Deputy Assistant Secretary of State for Far Eastern Affairs (Jones), Washington, November
                            12, 19571","Washington","November 12,
                            1957"
"286. Memorandum From the Director of the Office of Southwest Pacific
                            Affairs (Mein) to the
                            Assistant Secretary of State for Far Eastern Affairs (Robertson)1","Washington","November 12,
                                    1957"
"287. Telegram From the Embassy in Indonesia
                            to the Department of State1","Djakarta","November 13, 1957—2
                                p.m."
"288. Telegram From the Embassy in Indonesia
                            to the Department of State1","Djakarta","November 15, 1957—8
                                p.m."
"290. Memorandum of a Conversation, Department of State, Washington,
                            November 18, 19571","Washington","November 18,
                            1957"
"409. Memorandum From the Assistant Secretary of State for
                            International Organization Affairs (Wilcox) to the Secretary of
                                State1","Washington","November 22,
                                    1957"
"295. Telegram From the Mission at the United
                                Nations to the Department of
                                State1","New
                                        York","November 23,
                            1957—noon"
"296. Telegram From the Embassy in Indonesia
                            to the Department of State1","Djakarta","November 25, 1957—1
                                p.m."
"297. Telegram From the Department of State
                            to the Mission at the United Nations1","Washington","November 25, 1957—5:36
                                p.m."
"298. Telegram From the Department of State
                            to the Embassy in Indonesia1","Washington","November 25, 1957—7:32
                                p.m."
"300. Message From the Ambassador in Indonesia (Allison) to the Assistant
                            Secretary of State for Far Eastern Affairs (Robertson)1","Djakarta","November 27,
                                    1957"
"301. Memorandum of a Conversation, Department of State, Washington,
                            November 27, 19571","Washington","November 27,
                            1957"
"302. Telegram From the Embassy in Indonesia
                            to the Department of State1","Djakarta","November 28, 1957—1
                                p.m."
"304. Telegram From the Department of State
                            to the Embassy in Indonesia1","Washington","December 1, 1957—1:13
                                p.m."
"302. National Intelligence Estimate1","Washington","December 3,
                                    1957."
"305. Telegram From the Embassy in Indonesia
                            to the Department of State1","Washington","December 3, 1957—10
                                a.m."
"307. Telegram From the Embassy in Indonesia
                            to the Department of State1","Djakarta","December 5,
                            1957—noon"
"409. Despatch From the Ambassador in Vietnam (Durbrow) to the Department of State1","Saigon","December 5,
                                    1957"
"308. Telegram From the Department of State
                            to the Embassy in the Netherlands1","Washington","December 5, 1957—6:20
                                p.m."
"309. Telegram From the Department of State
                            to the Embassy in Indonesia1","Washington","December 5, 1957—7:05
                                p.m."
"311. Telegram From the Embassy in Indonesia
                            to the Department of State1","Djakarta","December 6, 1957—3
                            p.m."
"310. Notes of the Secretary’s Staff Meeting, Department of State,
                            Washington, December 6, 1957, 9:15 a.m.1","Washington","December 6, 1957, 9:15
                                a.m."
"314. Message From the Assistant Secretary of State for Far Eastern
                            Affairs (Robertson)
                            to the Ambassador in Indonesia (Allison)1","Washington","December 7,
                                    1957"
"312. Telegram From the Chief of Naval Operations (Burke) to the Commander in
                            Chief, Pacific (Stump)1","Washington","December 7, 1957—7:39
                                p.m."
"313. Telegram From the Department of State
                            to the Embassy in Indonesia1","Washington","December 7, 1957—7:59
                                p.m."
"316. Telegram From the Embassy in Indonesia
                            to the Department of State1","Djakarta","December 9, 1957—11
                                a.m."
"279. Memorandum From the Deputy Director of the Office of Near Eastern
                        Affairs (Rockwell) to the
                        Assistant Secretary of State for Near Eastern, South Asian, and African
                        Affairs (Rountree)1","Washington","December 9,
                            1957"
"315. Notes of the Secretary’s Staff Meeting, Department of State,
                            Washington, December 9, 1957, 9:15 a.m.1","Washington","December 9, 1957, 9:15
                                a.m."
"317. Telegram From the Embassy in Indonesia
                            to the Department of State1","Djakarta","December 10, 1957—2
                                p.m."
"319. Telegram From the Embassy in the
                                Netherlands to the Department of
                                State1","The
                                        Hague","December 10, 1957—7
                                p.m."
"318. Telegram From the Department of State
                            to the Office of the Permanent Representative to the
                                North Atlantic Council1","Washington","December 10, 1957—6:49
                                p.m."
"320. Telegram From the Embassy in Indonesia
                            to the Department of State1","Djakarta","December 11, 1957—8
                                a.m."
"322. Memorandum of a Conversation, Department of State, Washington,
                            December 12, 19571","Washington","December 12,
                            1957"
"323. Telegram From the Commander in Chief, Pacific (Stump), to the Chief of
                            Naval Operations (Burke)1","Honolulu","December 12, 1957—6:33
                                p.m."
"282. Memorandum on the Substance of Discussion at the Department of
                            State–Joint Chiefs of Staff Meeting, Pentagon, Washington, December 13,
                            1957, 11:30 a.m.1","Washington","December 13, 1957, 11:30 a.m."
"424. Memorandum on the Substance of Discussion at a Department of
                            State-Joint Chiefs of Staff Meeting, Washington, December 13, 1957,
                            11:30 a.m.1","Washington","December 13, 1957, 11:30
                                a.m."
"324. Telegram From the Embassy in Indonesia
                            to the Department of State1","Djakarta","December 14, 1957—3
                                p.m."
"71. Telegram From the United States Delegation at
                                the NATO Heads of Government
                                Meeting to the Department of
                                State1","Paris","December 14, 1957—9
                                a.m."
"325. Telegram From the Embassy in Indonesia
                            to the Department of State1","Djakarta","December 16, 1957—6
                                p.m."
"138. Telegram From the Office of the Permanent
                                Representative on the North Atlantic Council to the Department of State1","Paris","December 17, 1957—1
                                        a.m."
"75. Telegram From the United States Delegation at
                                the NATO Heads of Government
                                Meeting to the Department of
                                State1","Paris","December 17,
                                        1957—noon"
"78. Telegram From the United States Delegation at
                                the NATO Heads of Government
                                Meeting to the Department of
                                State1","Paris","December 18, 1957—11
                                        a.m."
"327. Memorandum From the Director of Intelligence and Research
                                (Cumming) to the
                                Acting Secretary of State1","Washington","December 19,
                                    1957"
"82. Telegram From the United States Delegation at
                                the NATO Heads of Government
                                Meeting to the Department of
                                State1","Paris","December 19, 1957—8
                                        p.m."
"329. Message From the Ambassador in Indonesia (Allison) to the Under
                            Secretary of State (Herter)1","Djakarta","December 20,
                                    1957"
"169. Despatch From the Mission at the United
                            Nations to the Department of State1","New
                                York","December 20, 1957"
"328. Telegram From the Embassy in Indonesia
                            to the Department of State1","Djakarta","December 20, 1957—3
                                p.m."
"330. Telegram From the Army Attaché in Indonesia (Collier) to the Department
                                of the Army1","Djakarta","December 21, 1957—11:22
                                a.m."
"331. Telegram From the Embassy in Indonesia
                            to the Department of State1","Djakarta","December 21,
                            1957—noon"
"333. Telegram From the Army Attaché in Indonesia (Collier) to the Department
                                of the Army1","Djakarta","December 23, 1957—2:51
                                p.m."
"334. Telegram From the Embassy in Indonesia
                            to the Department of State1","Djakarta","December 23, 1957—6
                                p.m."
"335. Letter From the Deputy Assistant Secretary of Defense for
                            International Security Affairs (Irwin)
                            to the Secretary of State1","Washington","December 26,
                                    1957"
"159. Editorial Note",NA,NA
"336. Telegram From the Commander in Chief, Pacific (Stump), to the Chief of
                            Naval Operations (Burke)1","Honolulu","December 26, 1957—3:49
                                p.m."
"337. Memorandum From the Deputy Assistant Secretary of State for Far
                            Eastern Affairs (Jones) to the Secretary of
                                State1","Washington","December 27,
                                    1957"
"338. Telegram From the Department of State
                            to the Embassy in Australia1","Washington","December 27, 1957—5:19
                                p.m."
"339. Telegram From the Department of State
                            to the Embassy in Japan1","Washington","December 28, 1957—4:58
                                p.m."
"340. Telegram From the Embassy in Indonesia
                            to the Department of State1","Djakarta","December 30, 1957—4
                                p.m."
"341. Telegram From the Embassy in Indonesia
                            to the Department of State1","Djakarta","December 30, 1957—5
                                p.m."
"305. Paper Prepared by Robert McClintock of the
                            Policy Planning Staff1","[Washington,]","December 31, 1957."
"215. Editorial Note",NA,NA
"1. Memorandum From the Assistant Secretary of State for Far Eastern
                            Affairs (Robertson)
                            to Secretary of State Dulles0","Washington","January 2,
                                    1958"
"8. Editorial Note",NA,NA
"13. Editorial Note",NA,NA
"18. Editorial Note",NA,NA
"26. Editorial Note",NA,NA
"28. Editorial Note",NA,NA
"30. Editorial Note",NA,NA
"32. Editorial Note",NA,NA
"36. Editorial Note",NA,NA
"44. Editorial Note",NA,NA
"47. Editorial Note",NA,NA
"36. Editorial Note",NA,NA
"44. Editorial Note",NA,NA
"47. Editorial Note",NA,NA
"58. Editorial Note",NA,NA
"70. Editorial Note",NA,NA
"72. Editorial Note",NA,NA
"73. Editorial Note",NA,NA
"76. Editorial Note",NA,NA
"106. Editorial Note",NA,NA
"120. Editorial Note",NA,NA
"161. Editorial Note",NA,NA
"181. Editorial Note",NA,NA
"188. Editorial Note",NA,NA
"204. Editorial Note",NA,NA
"217. Editorial Note",NA,NA
"227. Editorial Note",NA,NA
"235. Editorial Note",NA,NA
"244. Editorial Note",NA,NA
"249. Editorial Note",NA,NA
"250. Editorial Note",NA,NA
"244. Editorial Note",NA,NA
"249. Editorial Note",NA,NA
"250. Editorial Note",NA,NA
"289. Editorial Note",NA,NA
"166. Editorial Note",NA,NA
"33. Editorial Note",NA,NA
"343. Editorial Note",NA,NA
"2. Memorandum of Conversation0","Washington","January
                                    2, 1958, 5 p.m."
"6. Telegram From the Embassy in Indonesia
                            to the Department of State0","Djakarta","January 7,
                                    1958, 1 p.m."
"136. Editorial Note",NA,NA
"165. Editorial Note",NA,NA
"264. Memorandum of Discussion at a Department of State-Joint Chiefs of
                            Staff Meeting, Washington, January 10, 1958, 11:30 a.m.1","Washington","January 10, 1958, 11:30
                                a.m."
"7. Telegram From the Embassy in Indonesia
                            to the Department of State0","Djakarta","January
                                    21, 1958, 3 p.m."
"5. Memorandum of Discussion at the 352d Meeting of the National Security
                            Council0","Washington","January 22,
                            1958"
"266. Memorandum of Discussion at the Department of State-Joint Chiefs
                            of Staff Meeting, Washington, January 24, 1958, 11:30 a.m.1","Washington","January 24, 1958, 11:30
                                a.m."
"9. Letter From the Assistant Secretary of State for Far Eastern
                            Affairs (Robertson)
                            to the Deputy Assistant Secretary of Defense for International Security
                            Affairs (Irwin)0","Washington","January 27,
                                    1958"
"10. Memorandum From the Assistant Secretary of State for Far Eastern
                            Affairs (Robertson)
                            to Acting Secretary of State Herter0","Washington","January 29,
                                    1958"
"11. Memorandum by Director of Central Intelligence Dulles0","Washington","January 31,
                                    1958"
"286. Editorial Note",NA,NA
"12. Memorandum From the Deputy Assistant Secretary of State for Far
                            Eastern Affairs (Jones) to the Deputy Under Secretary of State for
                            Political Affairs (Murphy)0","Washington","February 6,
                                    1958"
"14. Memorandum of Conversation0","Washington","February 7,
                            1958"
"15. Memorandum From the Special Assistant to the Joint Chiefs of Staff
                            for National Security Council Affairs (Triebel) to the President’s Special Assistant for
                            National Security Affairs (Cutler)0","Washington","February 10,
                                    1958"
"17. Telegram From the Embassy in Indonesia
                            to the Department of State0","Djakarta","February
                                    12, 1958, noon"
"19. Telegram From the Department of State
                            to the Embassy in Indonesia0","Washington","February 19, 1958, 9:10 p.m."
"333. Paper Prepared in the Office of the Legal Adviser for Special
                            Functional Problems1","Washington","February 20,
                                    1958"
"333. Paper Prepared in the Office of the Legal Adviser for Special
                            Functional Problems1","Washington","February 20,
                                    1958"
"21. Telegram From the Embassy in Indonesia
                            to the Department of State0","Djakarta","February
                                    21, 1958, 4 p.m."
"22. Memorandum of Telephone Conversation Between Secretary of State
                                Dulles and Director of
                            Central Intelligence Dulles0","Washington","February 21, 1958, 4:42 p.m."
"24. Memorandum From Robert H. Johnson
                            of the National Security Council Staff to the President’s Special
                            Assistant for National Security Affairs (Cutler)0","Washington","February 24,
                                    1958"
"25. Telegram From the Embassy in Indonesia
                            to the Department of State0","Djakarta","February
                                    24, 1958, 4 p.m."
"120. National Security Council Report0","Washington","February 28,
                                1958"
"27. Telegram From the Embassy in Indonesia
                            to the Department of State0","Djakarta","February
                                    28, 1958, 3 p.m."
"6. Report to the Council on Foreign Economic Policy0",NA,"March 6, 1958"
"29. Telegram From the Department of State
                            to the Embassy in Indonesia0","Washington","March 6, 1958, 8:15 p.m."
"31. Telegram From the Embassy in Indonesia
                            to the Department of State0","Djakarta","March 7,
                                    1958, 7 p.m."
"33. Telegram From the Embassy in Indonesia
                            to the Department of State0","Djakarta","March 8,
                                    1958, 10 p.m."
"34. Telegram From the Embassy in Indonesia
                            to the Department of State0","Djakarta","March 10,
                                    1958, 3 p.m."
"35. Memorandum of Conversation0","Manila","March
                                    12, 1958, 8 a.m."
"4. Telegram From the Delegation at the SEATO Council Meeting to the
                                Department of State1","Manila","March 12,
                                    1958"
"5. Telegram From the Delegation at the SEATO Council Meeting to the
                                Department of State1","Manila","March 12,
                                    1958"
"16. Telegram From the Mission at the United
                                Nations to the Department of
                                State1","New
                                        York","March 12, 1958—9
                            p.m."
"13. Memorandum of Discussion at the 358th Meeting of the National
                            Security Council0","Washington","March 13,
                                    1958"
"7. Telegram From the Delegation at the SEATO Council Meeting to the
                                Department of State1","Manila","March 13,
                                    1958"
"8. Telegram From the Delegation at the SEATO Council Meeting to the
                                Department of State1","Manila","March 13,
                                    1958"
"10. Letter From the Secretary of State to
                            the President1","Manila","March 13,
                                    1958"
"37. Letter From the Assistant Secretary of Defense for International
                            Security Affairs (Sprague) to the
                            Deputy Under Secretary of State for Political Affairs (Murphy)0","Washington","March 14,
                                    1958"
"38. Telegram From Secretary of State Dulles to the Department of
                                State0","Taipei","March 14,
                                    1958, 1 p.m."
"39. Telegram From the Embassy in Indonesia
                            to the Department of State0","Djakarta","March 14,
                                    1958, 2 p.m."
"6. Memorandum of Conversation0","Taipei","March
                                    14, 1958, 8:30 p.m."
"40. Telegram From the Embassy in Indonesia
                            to the Department of State0","Djakarta","March 15,
                                    1958, 1 p.m."
"41. Telegram From the Embassy in Indonesia
                            to the Department of State0","Djakarta","March 15,
                                    1958, 8 p.m."
"42. Telegram From the Embassy in Indonesia
                            to the Department of State0","Djakarta","March 15,
                                    1958, 9 p.m."
"43. Telegram From the Embassy in Indonesia
                            to the Department of State0","Djakarta","March 19,
                                    1958, 9 a.m."
"12. Memorandum of Discussion at the 359th Meeting of the National Security
                            Council0","Washington","March 20,
                            1958"
"45. Telegram From the Embassy in Indonesia
                            to the Department of State0","Djakarta","March 21,
                                    1958, 4 p.m."
"46. Telegram From the Embassy in Indonesia
                            to the Department of State0","Djakarta","March 21,
                                    1958, 10 p.m."
"48. Telegram From the Embassy in Indonesia
                            to the Department of State0","Djakarta","March 27,
                                    1958, 3 p.m."
"49. Memorandum of Information0","Washington","March 28,
                                    1958"
"50. Memorandum From the Under Secretary of State (Herter) to Secretary of
                            State Dulles0","Washington","April 1,
                                    1958"
"51. Memorandum of Conversation0","Washington","April 4, 1958"
"52. Telegram From the Embassy in Indonesia
                            to the Department of State0","Djakarta","April 6,
                                    1958, 8 p.m."
"53. Memorandum From the Joint Chiefs of
                                Staff to Secretary of Defense McElroy0","Washington","April 8,
                                    1958"
"54. Telegram From the Embassy in Indonesia
                            to the Department of State0","Djakarta","April 8,
                                    1958, 5 p.m."
"55. Memorandum of Telephone Conversation Between Secretary of State
                                Dulles and the Under
                            Secretary of State (Herter)0","Washington","April
                                    8, 1958, 12:15 p.m."
"56. Telegram From the Embassy in Indonesia
                            to the Department of State0","Djakarta","April 12,
                                    1958, 3 p.m."
"57. Memorandum of Conversation0","Washington","April 13, 1958"
"59. Memorandum From the Director of the Office of Southeast Asian
                            Affairs (Mein) to the
                            Assistant Secretary of State for Far Eastern Affairs (Robertson)0","Washington","April 14,
                                    1958"
"60. Memorandum of Conversation0","Washington","April 14, 1958"
"62. Memorandum of Conversation With President Eisenhower0","Washington","April 15, 1958"
"18. Memorandum of a Conversation, Department of State, Washington,
                            April 15, 19581","Washington","April 15, 1958"
"63. Telegram From the Embassy in Indonesia
                            to the Department of State0","Djakarta","April 15,
                                    1958, 7 p.m."
"65. Memorandum From Director of Central Intelligence Dulles to President
                                Eisenhower0","Washington","April 17,
                                    1958"
"34. Memorandum by the U.S. Member of the Board of Executive Directors of
                        the International Monetary Fund (Southard)0",NA,"April 18, 1958"
"66. Memorandum of Conversation0","Washington","April 18, 1958"
"67. Letter From the Chief of Naval Operations (Burke) to the Under
                            Secretary of State (Herter)0","Washington","April 18,
                                    1958"
"34. Memorandum by the U.S. Member of the Board of Executive Directors of
                        the International Monetary Fund (Southard)0",NA,"April 18, 1958"
"69. Memorandum of Telephone Conversation Between Secretary of State
                                Dulles and Director of
                            Central Intelligence Dulles0","Washington","April
                                    23, 1958, 12:49 p.m."
"71. Memorandum of Conversation0","Washington","April 24, 1958"
"123. Telegram From the Embassy in
                                Yugoslavia to the Department of
                                State0","Belgrade","April 24,
                                    1958, 5 p.m."
"74. Telegram From the Embassy in Indonesia
                            to the Department of State0","Djakarta","April 30,
                                    1958, 2 p.m."
"75. Telegram From the Embassy in Indonesia
                            to the Department of State0","Djakarta","April 30,
                                    1958, 5 p.m."
"23. Memorandum of Discussion at the 364th Meeting of the National Security
                            Council0","Washington","May 1,
                            1958"
"77. Telegram From the Embassy in Indonesia
                            to the Department of State0","Djakarta","May 2,
                                    1958, 2 p.m."
"78. Telegram From the Embassy in Indonesia
                            to the Department of State0","Djakarta","May 3,
                                    1958, 8 p.m."
"79. Memorandum of Conversation0","Copenhagen","May 4,
                                    1958, 5:15 p.m."
"80. Telegram From the Embassy in Indonesia
                            to the Department of State0","Djakarta","May 6,
                                    1958, 1 a.m."
"81. Telegram From the Department of State
                            to the Embassy in Indonesia0","Washington","May
                                    6, 1958, 1:57 p.m."
"82. Memorandum of Conversation0","Copenhagen","May 7,
                                    1958, 11:30 a.m."
"84. Telegram From the Embassy in Indonesia
                            to the Department of State0","Djakarta","May 7,
                                    1958, 11 p.m."
"83. Telegram From the Commander in Chief, Pacific (Stump) to the Chief of
                            Naval Operations (Burke)0","Honolulu","May 7,
                                    1958, 5 p.m."
"86. Telegram From the Embassy in Indonesia
                            to the Department of State0","Djakarta","May 8,
                                    1958, 8 p.m."
"88. Memorandum From the Joint Chiefs of
                                Staff to Secretary of Defense McElroy0","Washington","May 9,
                                1958"
"87. Telegram From the Embassy in Indonesia
                            to Secretary of State Dulles, at Copenhagen0","Djakarta","May 9,
                                    1958, 2 p.m."
"89. Telegram From the Embassy in Indonesia
                            to the Department of State0","Djakarta","May 10,
                                    1958, 4 p.m."
"90. Telegram CX–158 From the Army Attaché in Indonesia (Cole) to the Department of the Army","Djarkarta","May 12,
                                    1958, 1:20 p.m."
"91. Telegram From the Embassy in Indonesia
                            to the Department of State0","Djakarta","May 12,
                                    1958, 5 p.m."
"13. National Intelligence Estimate0","Washington","May 13,
                                1958"
"94. Memorandum From the Chief of Naval Operations (Burke) to Secretary of
                            State Dulles0","Washington","May 13,
                                1958"
"95. Memorandum of Conversation0","Washington","May 13, 1958"
"29. Memorandum of a Telephone Conversation Between Secretary of State
                                Dulles in Washington and
                            Foreign Secretary Lloyd in
                            London, May 13, 1958, 12:50 p.m.1",NA,"May 13, 1958, 12:50
                                p.m."
"30. Memorandum of a Conversation, White House, Washington, May 13,
                            1958, 5:50 p.m.1","White
                                        House, Washington","May 13, 1958, 5:50
                            p.m."
"92. Telegram From the Department of State
                            to the Embassy in Indonesia0","Washington","May
                                    13, 1958, 10:10 p.m."
"93. Telegram From the Department of State
                            to the Embassy in Indonesia0","Washington","May
                                    13, 1958, 10:11 p.m."
"476. Memorandum of a Conversation, Department of State, Washington,
                            May 14, 19581","Washington","May 14, 1958"
"96. Memorandum of Conversation0","Washington","May 15, 1958"
"98. Telegram From the Army Attaché in Indonesia (Cole) to the Department of the Army0","Djakarta","May 15,
                                1958"
"97. Telegram From the Embassy in Indonesia
                            to the Department of State0","Djakarta","May 15,
                                    1958, 1 p.m."
"99. Telegram From the Embassy in Indonesia
                            to the Department of State0","Djakarta","May 15,
                                    1958, 6 p.m."
"100. Telegram From the Embassy in Indonesia
                            to the Department of State0","Djakarta","May 16,
                                    1958, 7 p.m."
"101. Telegram From the Embassy in Indonesia
                            to the Department of State0","Djakarta","May 17,
                                    1958, 7 p.m."
"102. Telegram From the Department of State
                            to the Embassy in Indonesia0","Washington","May
                                    17, 1958, 2:03 p.m."
"103. Memorandum of Conversation0","Washington","May 18,
                                    1958, 5:30 p.m."
"104. Memorandum From the Chief of Naval Operations (Burke) to the Assistant
                            Secretary of State for Far Eastern Affairs (Robertson)0","Washington","May 20,
                                1958"
"105. Telegram From the Embassy in Indonesia
                            to the Department of State0","Djakarta","May 20,
                                    1958, 5 p.m."
"107. Memorandum of Conversation0","Washington","May 22, 1958"
"108. Telegram From the Embassy in the Republic of
                                China to the Department of
                                State0","Taipei","May 22,
                                    1958, 8 p.m."
"109. Memorandum of Conversation0","Washington","May 23, 1958"
"110. Memorandum of Conversation0","Washington","May 23, 1958"
"111. Telegram From the Department of State
                            to the Embassy in Indonesia0","Washington","May
                                    23, 1958, 10:20 p.m."
"113. Telegram From the Embassy in the Republic of
                                China to the Department of
                                State0","Taipei","May 26,
                                    1958, 2 a.m."
"112. Telegram From the Department of State
                            to the Embassy in Indonesia0","Washington","May
                                    26, 1958, 8:30 p.m."
"115. Memorandum of Conversation0","Washington","May 27, 1958"
"116. Memorandum of Conversation0","Washington","May 27, 1958"
"114. Telegram From the Commander in Chief, Pacific (Stump) to the Chief of
                            Naval Operations (Burke)0","Honolulu","May 26,
                                    1958, 9:22 p.m."
"480. Memorandum of a Conversation, Department of State, Washington,
                            May 27, 1958, 3 p.m.1","Washington","May 27, 1958, 3
                            p.m."
"117. Telegram From the Embassy in Indonesia
                            to the Department of State0","Djakarta","June 3,
                                    1958, 6 p.m."
"412. National Security Council Report1","Washington","June 4,
                                        1958."
"17. Paper Prepared by the Operations Coordinating Board1","Washington","June 4,
                                1958"
"118. Telegram From the Embassy in Indonesia
                            to the Department of State0","Djakarta","June 6,
                                    1958, 8 p.m."
"121. Memorandum of Conversation0","Washington","June 11, 1958"
"119. Telegram From the Department of State
                            to the Embassy in Indonesia0","Washington","June
                                    16, 1958, 6:32 p.m."
"122. Telegram From the Embassy in Indonesia
                            to the Department of State0","Djakarta","June 17,
                                    1958, 11 a.m."
"123. Memorandum From the Director of the Bureau of Intelligence and
                            Research (Cumming)
                            to Secretary of State Dulles0","Washington","June 20,
                                    1958"
"171. Editorial Note",NA,NA
"124. Telegram From the Embassy in Indonesia
                            to the Department of State0","Djakarta","June 24,
                                    1958, 4 p.m."
"27. Memorandum of Discussion at the 370th Meeting of the National Security
                            Council0","Washington","June 26,
                            1958"
"160. Memorandum of Discussion at the 370th Meeting of the National
                        Security Council0","Washington","June 26,
                            1958"
"125. Telegram From the Embassy in Indonesia
                            to the Department of State0","Djakarta","June 26,
                                    1958, 2 p.m."
"28. Memorandum of Conversation0",NA,"June
                                    27, 1958"
"127. Memorandum of the Substance of Discussion at a Department of
                            State–Joint Chiefs of Staff Meeting0","Washington","June
                                    27, 1958, 10 a.m."
"128. Telegram From the Department of State
                            to the Embassy in Indonesia0","Washington","June
                                    27, 1958, 9:48 p.m."
"130. Telegram From the Embassy in Indonesia
                            to the Department of State0","Djakarta","June 28,
                                    1958, 4 p.m."
"129. Telegram From the Department of State
                            to the Embassy in Indonesia0","Washington","June
                                    28, 1958, 4:12 p.m."
"280. Memorandum From Secretary of State Dulles to President Eisenhower0",NA,"July 3, 1958"
"131. Memorandum of Conversation0","Paris","July 5, 1958"
"34. Memorandum of Conversation0","Paris","July 5,
                                    1958, 10:30 a.m."
"132. Telegram From the Embassy in Indonesia
                            to the Department of State0","Djakarta","July 7,
                                    1958, 1 p.m."
"133. Telegram From the Embassy in Indonesia
                            to the Department of State0","Djakarta","July 9,
                                    1958, 5 p.m."
"124. Memorandum of a Conference With the President, White House,
                            Washington, July 14, 1958, 10:50 a.m.1","Washington","July 14, 1958, 10:50
                                a.m."
"134. Telegram From the Embassy in Indonesia
                            to the Department of State0","Djakarta","July 15,
                                    1958, 6 p.m."
"136. Telegram From the Embassy in Indonesia
                            to the Department of State0","Djakarta","July 21,
                                    1958, 6 p.m."
